 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
430,Elfrid Payton\paytoel01,PG,27,PHO,22,0,11.7,1.6,4,0.402,0,0.2,0.2,1.5,3.7,0.415,0.408,0.4,0.7,0.533,0.5,1.5,2,1.8,0.5,0.1,1,1.1,3.6
431,Gary Payton II\paytoga02,PG,29,GSW,40,9,16.7,3.3,5,0.647,0.7,1.8,0.414,2.5,3.3,0.771,0.719,0.6,1,0.59,1.1,2.5,3.6,0.8,1.4,0.2,0.5,1.7,7.8
432,Norvel Pelle\pelleno01,C,28,UTA,3,0,6.3,1,1.7,0.6,0,0,,1,1.7,0.6,0.6,0,0,,1,1,2,0,0,0.3,0.7,0.3,2
433,Reggie Perry\perryre01,PF,21,POR,2,0,20.5,2,4.5,0.444,0.5,1,0.5,1.5,3.5,0.429,0.5,1,1,1,1,2.5,3.5,1,0.5,0,0.5,3,5.5
434,Jamorko Pickett\pickeja01,PF,24,DET,6,0,7.8,0.2,1.7,0.1,0.2,1.2,0.143,0,0.5,0,0.15,0,0,,0.3,1.2,1.5,0.2,0,0.2,0.5,0.5,0.5
435,Theo Pinson\pinsoth01,SF,26,DAL,11,0,8.5,0.7,2.5,0.296,0.5,1.8,0.25,0.3,0.6,0.429,0.389,0.4,0.4,1,0,1.5,1.5,1.1,0.4,0.2,0.2,0.8,2.3
436,Mason Plumlee\plumlma01,C,31,CHO,34,34,24.7,2.9,4.7,0.615,0,0,0,2.9,4.7,0.619,0.615,0.8,2.1,0.37,2.3,4.8,7.1,2.8,0.9,0.8,1.1,3,6.6
437,Jakob Poeltl\poeltja01,C,26,SAS,35,34,28.7,5.5,9.4,0.59,0,0,,5.5,9.4,0.59,0.59,1,2.5,0.391,4,4.9,8.9,2.7,0.7,1.5,1.6,3.2,12.1
438,Aleksej Pokusevski\pokusal01,PF,20,OKC,36,2,15.1,1.9,5.4,0.358,0.6,2.4,0.23,1.4,2.9,0.462,0.409,0.2,0.4,0.5,0.9,3.1,4,1.1,0.5,0.5,1.2,1.2,4.6
439,Yves Pons\ponsyv01,SF,22,MEM,6,0,3.5,0.2,0.5,0.333,0.2,0.2,1,0,0.3,0,0.5,0,0.3,0,0.3,0.5,0.8,0,0,0,0,0.3,0.5
440,Jordan Poole\poolejo01,SG,22,GSW,36,30,29.4,5.9,13.5,0.439,2.6,7.5,0.339,3.4,5.9,0.565,0.534,2.7,3,0.899,0.2,2.8,3,3.3,0.9,0.3,2.4,2.7,17.1
441,Kevin Porter Jr.\porteke02,PG,21,HOU,28,28,29.8,4.4,11.8,0.369,1.8,5.6,0.323,2.5,6.2,0.41,0.446,2,3.3,0.613,0.8,3.6,4.4,5.8,1.3,0.3,3.7,2.5,12.6
442,Michael Porter Jr.\portemi01,SF,23,DEN,9,9,29.4,4.1,11.4,0.359,1.1,5.3,0.208,3,6.1,0.491,0.408,0.6,1,0.556,1,5.6,6.6,1.9,1.1,0.2,1.3,1.8,9.9
443,Otto Porter Jr.\porteot01,PF,28,GSW,36,5,21.2,3.1,6.6,0.46,1.5,3.8,0.399,1.5,2.8,0.545,0.575,0.5,0.7,0.708,1.1,4.1,5.1,1.6,1.1,0.4,0.6,1.3,8.1
444,Bobby Portis\portibo01,C,26,MIL,36,31,28.4,5.9,12.3,0.482,1.9,4.5,0.432,4,7.8,0.511,0.561,1.6,2.1,0.784,2.8,6.4,9.2,1.3,0.8,0.9,1.6,2.8,15.4
445,Kristaps Porziņģis\porzikr01,PF,26,DAL,27,27,30.3,7.1,15.7,0.452,1.6,5.4,0.29,5.5,10.3,0.536,0.501,4.8,5.5,0.872,2.1,5.8,7.9,2.3,0.8,1.7,1.4,2.4,20.5
446,Micah Potter\pottemi01,C,23,DET,3,0,10.3,1.7,3.7,0.455,0,0.7,0,1.7,3,0.556,0.455,0.7,0.7,1,1.3,1.7,3,0,0.3,0.3,0.3,1.3,4
447,Dwight Powell\poweldw01,C,30,DAL,43,39,20.4,2.7,4.3,0.624,0.3,0.7,0.414,2.4,3.7,0.662,0.656,1.5,2.1,0.711,2,2.6,4.6,1.1,0.5,0.4,0.7,2.3,7.2
448,Myles Powell\powelmy01,PG,24,PHI,7,0,5.6,0.7,1.9,0.385,0.1,0.6,0.25,0.6,1.3,0.444,0.423,0.3,0.3,1,0.1,0.6,0.7,0.3,0.1,0,0.4,0.9,1.9
449,Norman Powell\powelno01,SF,28,POR,34,34,32.9,6.2,13.6,0.455,2.2,5.5,0.399,4,8.1,0.493,0.536,4,4.9,0.82,0.4,2.5,2.9,2.1,1,0.4,1.5,2.3,18.6
450,Joshua Primo\primojo01,SG,19,SAS,20,4,13.5,1.5,3.9,0.377,0.7,2.1,0.341,0.8,1.8,0.417,0.468,0.5,0.6,0.833,0.4,1.2,1.6,1.3,0.4,0.5,0.9,0.9,4.1
451,Taurean Prince\princta02,PF,27,MIN,31,8,14.7,1.6,4.2,0.382,0.8,2.7,0.31,0.8,1.5,0.511,0.481,0.5,0.7,0.739,0.4,1.6,2,0.9,0.4,0.2,0.6,1.5,4.6
452,Payton Pritchard\pritcpa01,SG,24,BOS,34,2,13.8,1.9,5.1,0.374,1.2,3.2,0.376,0.7,1.9,0.369,0.491,0.2,0.2,1,0.4,1.5,1.9,1.8,0.2,0.1,0.7,0.9,5.3
453,Trevelin Queen\queentr01,SG,24,HOU,8,0,8.6,1.6,3.6,0.448,1,2.8,0.364,0.6,0.9,0.714,0.586,0.4,0.4,1,0.6,1.1,1.8,0.4,0.6,0,0.9,0.8,4.6
454,Neemias Queta\quetane01,C,22,SAC,6,0,6.7,0.8,2.5,0.333,0,0,,0.8,2.5,0.333,0.333,0.5,0.7,0.75,1,1.2,2.2,0.5,0.2,0.2,0.3,1.2,2.2
455,Immanuel Quickley\quickim01,PG,22,NYK,39,2,22.6,3.4,8.8,0.386,1.8,5.1,0.347,1.6,3.7,0.438,0.486,1.7,1.8,0.93,0.4,2,2.4,2.6,0.6,0.1,1.2,2.2,10.3
456,Jahmi'us Ramsey\ramseja01,SG,20,SAC,15,0,5.5,0.9,2.3,0.412,0.1,0.7,0.182,0.8,1.5,0.522,0.441,0.3,0.7,0.5,0.1,0.3,0.3,0.2,0.1,0.1,0.1,0.3,2.3
457,Julius Randle\randlju01,PF,27,NYK,41,41,35.6,7,16.7,0.416,1.7,5.5,0.313,5.2,11.2,0.467,0.468,3.5,4.6,0.759,1.7,8.4,10.1,5,0.7,0.6,3.4,2.8,19.1
458,Austin Reaves\reaveau01,SG,23,LAL,24,0,20.9,2.2,4.3,0.515,0.9,2.4,0.379,1.3,1.9,0.689,0.621,1,1.2,0.862,0.4,2,2.4,1,0.3,0.1,0.6,1.6,6.4
459,Cam Reddish\reddica01,SF,22,ATL,34,7,23.4,4.1,10.1,0.402,1.7,4.5,0.379,2.4,5.6,0.421,0.487,2.1,2.4,0.9,0.6,1.9,2.5,1.1,1,0.3,1.3,1.3,11.9
460,Davon Reed\reedda01,SG,26,DEN,16,2,16.6,1.7,3.7,0.458,0.8,1.8,0.429,0.9,1.9,0.484,0.559,0.3,0.3,0.8,0.5,2.6,3.1,1.3,1,0.2,0.3,1.6,4.4
461,Paul Reed\reedpa01,C,22,PHI,20,2,9,1,2.1,0.476,0,0.2,0,1,1.9,0.526,0.476,0.2,0.3,0.5,1,1.3,2.3,0.5,0.6,0.5,0.4,1.4,2.2
462,Naz Reid\reidna01,C,22,MIN,39,5,16.5,3.2,7.1,0.455,0.8,2.5,0.333,2.4,4.6,0.522,0.514,1.5,2.1,0.716,1.5,2.5,3.9,0.7,0.5,1,1,2.3,8.8
463,Nick Richards\richani01,C,24,CHO,31,5,9.3,1.6,2.4,0.685,0,0,,1.6,2.4,0.685,0.685,0.8,0.9,0.828,0.9,1.3,2.2,0.4,0.3,0.6,0.6,1.4,4
464,Josh Richardson\richajo01,SG,28,BOS,32,0,26,3.7,8.1,0.453,1.4,3.5,0.414,2.2,4.6,0.483,0.543,1.6,1.9,0.85,0.6,2.1,2.7,1.5,0.8,0.5,0.8,2,10.3
465,Austin Rivers\riverau01,SG,29,DEN,30,9,20.7,2.1,5.5,0.386,1.2,3.7,0.318,1,1.9,0.518,0.491,0.4,0.6,0.611,0.4,1.4,1.8,1.1,0.5,0.1,0.8,1.6,5.8
466,Duncan Robinson\robindu01,SG,27,MIA,40,35,27.7,3.9,10.3,0.381,3,8.6,0.347,1,1.7,0.551,0.525,0.7,0.8,0.818,0.4,2.9,3.3,1.5,0.6,0.2,0.7,2.6,11.5
467,Justin Robinson\robinju01,PG,24,TOT,25,0,12.2,1.1,3.7,0.301,0.7,2.4,0.295,0.4,1.3,0.313,0.398,0.2,0.3,0.5,0.2,0.7,0.8,1.3,0.4,0,0.7,1.1,3.1
467,Justin Robinson\robinju01,PG,24,MIL,17,0,11.6,1.1,3.4,0.316,0.6,2.2,0.27,0.5,1.2,0.4,0.404,0.1,0.1,1,0.1,0.6,0.8,1.2,0.5,0,0.6,1,2.8
467,Justin Robinson\robinju01,PG,24,SAC,3,0,5,0.3,2.7,0.125,0,1,0,0.3,1.7,0.2,0.125,0,0,,0,0.3,0.3,0.7,0,0,0.3,0.7,0.7
467,Justin Robinson\robinju01,PG,24,DET,5,0,18.2,1.8,5.6,0.321,1.6,4.2,0.381,0.2,1.4,0.143,0.464,0.4,1.2,0.333,0.4,1,1.4,1.8,0.2,0.2,1,1.6,5.6
468,Mitchell Robinson\robinmi01,C,23,NYK,39,30,25.1,3.5,4.4,0.789,0,0,,3.5,4.4,0.789,0.789,1.2,2.2,0.558,3.5,4.8,8.2,0.4,0.5,1.6,0.8,2.6,8.2
469,Jeremiah Robinson-Earl\robinje02,C,21,OKC,38,30,22.9,2.6,6.4,0.404,1.1,3.3,0.333,1.5,3.1,0.479,0.49,0.8,1.1,0.707,1.7,4,5.7,0.9,0.5,0.3,0.8,1.7,7.1
470,Isaiah Roby\robyis01,PF,23,OKC,18,5,13.7,2.6,4.7,0.56,0.6,1.2,0.5,2,3.4,0.581,0.625,0.9,1.2,0.762,1.1,2.2,3.3,0.7,0.2,0.3,0.8,1.4,6.7
471,Rajon Rondo\rondora01,PG,35,TOT,21,0,16.9,1.6,4.5,0.347,0.7,2.1,0.318,0.9,2.4,0.373,0.421,0.3,0.4,0.75,0.5,2.4,2.9,3.9,0.7,0.2,2,1.5,4.1
471,Rajon Rondo\rondora01,PG,35,LAL,18,0,16.1,1.3,3.9,0.324,0.4,1.7,0.267,0.8,2.3,0.366,0.38,0.1,0.1,0.5,0.6,2.2,2.7,3.7,0.7,0.3,1.9,1.4,3.1
471,Rajon Rondo\rondora01,PG,35,CLE,3,0,21.7,3.3,8,0.417,2,4.7,0.429,1.3,3.3,0.4,0.542,1.7,2,0.833,0.3,3.7,4,4.7,1,0,2.3,2,10.3
472,Derrick Rose\rosede01,PG,33,NYK,26,4,24.5,4.7,10.5,0.445,1.4,3.5,0.402,3.3,7,0.467,0.513,1.2,1.2,0.968,0.8,2.2,3,4,0.8,0.5,1.5,0.6,12
473,Terrence Ross\rosste01,SG,30,ORL,36,0,26.4,4.3,10.4,0.413,1.5,4.7,0.312,2.8,5.6,0.498,0.484,2.4,2.8,0.871,0.4,2.5,2.8,2.2,0.6,0.3,1.5,1.4,12.5
474,Terry Rozier\roziete01,SG,27,CHO,34,34,32.4,6.7,15.5,0.434,2.9,7.8,0.379,3.8,7.8,0.489,0.528,1.9,2.3,0.808,0.7,3.3,4,3.5,1.2,0.4,1.1,1.4,18.3
475,Ricky Rubio\rubiori01,PG,31,CLE,34,8,28.5,4.4,12.1,0.363,1.7,5.1,0.339,2.6,7,0.38,0.434,2.6,3,0.854,0.4,3.7,4.1,6.6,1.4,0.2,2.6,2.2,13.1
476,D'Angelo Russell\russeda01,PG,25,MIN,32,32,33,6.7,16.4,0.405,3.1,8.6,0.355,3.6,7.8,0.46,0.498,2.6,3.2,0.806,0.4,3.3,3.7,7,0.9,0.5,2.6,2.2,19
477,Domantas Sabonis\sabondo01,C,25,IND,42,41,34.9,7,12.2,0.575,0.8,2.4,0.317,6.2,9.8,0.639,0.607,4.2,5.6,0.745,3.1,8.8,11.9,4.7,1,0.4,3,3,18.9
478,Olivier Sarr\sarrol01,C,22,OKC,2,0,7,0.5,1.5,0.333,0,0.5,0,0.5,1,0.5,0.333,1,1,1,0,2.5,2.5,0,0,1,0,0.5,2
479,Tomáš Satoranský\satorto01,SG,30,NOP,31,3,14.9,1,3.3,0.311,0.2,1,0.167,0.9,2.4,0.37,0.335,0.6,0.8,0.76,0.6,1.5,2,2.3,0.5,0,0.7,1,2.8
480,Jordan Schakel\schakjo01,SG,23,WAS,2,0,7,0,3,0,0,1.5,0,0,1.5,0,0,0,0,,1,0.5,1.5,0,0,0,0,0,0
481,Admiral Schofield\schofad01,SF,24,ORL,12,1,15.1,1.8,3.4,0.537,0.6,1.7,0.35,1.3,1.8,0.714,0.622,0,0.1,0,0.4,2.7,3.1,0.8,0.1,0.3,0.8,1.8,4.3
482,Dennis Schröder\schrode01,SG,28,BOS,37,22,31.6,5.6,13,0.435,1.4,4.1,0.342,4.2,8.9,0.479,0.49,3,3.5,0.846,0.6,2.8,3.4,4.5,0.8,0.1,2.2,2.4,15.7
483,Tre Scott\scotttr01,SF,25,CLE,2,0,5.5,1.5,3,0.5,0,0.5,0,1.5,2.5,0.6,0.5,0,0,,0.5,0.5,1,0,0.5,0.5,0,1,3
484,Jay Scrubb\scrubja01,SG,21,LAC,14,0,6.8,1.1,2.9,0.375,0.4,1.4,0.263,0.7,1.5,0.476,0.438,0.3,0.5,0.571,0.1,0.6,0.8,0.5,0.2,0.2,0.4,0.4,2.8
485,Wayne Selden\seldewa01,SG,27,NYK,3,0,6.3,0.3,1.3,0.25,0.3,0.7,0.5,0,0.7,0,0.375,0.7,1.3,0.5,0,0.3,0.3,0.3,0,0,0,0.3,1.7
486,Alperen Şengün\sengual01,C,19,HOU,36,2,18.3,3.2,6.3,0.504,0.3,1.1,0.293,2.8,5.1,0.551,0.531,2.3,3.3,0.7,1.7,3,4.8,2.6,0.9,0.9,1.9,3.1,9
487,Collin Sexton\sextoco01,SG,23,CLE,11,11,28.7,6.2,13.7,0.45,1,4.1,0.244,5.2,9.6,0.538,0.487,2.6,3.5,0.744,1.2,2.1,3.3,2.1,0.9,0,2.8,2.3,16
488,Landry Shamet\shamela01,SG,24,PHO,37,7,20.5,2.6,6.8,0.38,1.7,4.6,0.363,0.9,2.1,0.418,0.504,1,1.1,0.857,0.2,1.8,2.1,1.5,0.5,0.1,0.6,1.1,7.8
